lesson	ˈles.ən	课	false
tea	ˈtiː	茶	false
rose	ˈroʊz	玫瑰	false
little	ˈlɪt.əl	小的	false
vase	ˈveɪs	花瓶	false
window	ˈwɪn.doʊ	窗户	false
drawing-room	ˈdrɔː.ɪŋ ruːm	客厅	false
curtain	ˈkɜːr.tən	窗帘	false
flower	ˈflaʊ.ər	花	false
perfect	ˈpɜːr.fekt	完美的	false
beautiful	ˈbjuː.tɪ.fəl	美丽的	false
sunlight	ˈsʌn.laɪt	阳光	false
favorite	ˈfeɪ.vər.ɪt	最喜欢的	false
greenhouse	ˈɡriːn.haʊs	温室	false
anything	ˈen.i.θɪŋ	任何事物	false
something	ˈsʌm.θɪŋ	某物	false
remember	rɪˈmem.bər	记得	false
because	bɪˈkɔːz	因为	false
without	wɪðˈaʊt	没有	false
people	ˈpiː.pəl	人们	false
circumstance	ˈsɜːr.kəm.stæns	境况	false
quality	ˈkwɑː.lə.ti	品质	false
enjoyment	ɪnˈdʒɔɪ.mənt	享受	false
pleasure	ˈpleʒ.ər	乐趣	false
gratification	ˌɡræt.ɪ.fɪˈkeɪ.ʃən	满足	false
necessity	nəˈses.ə.ti	必要	false
variety	vəˈraɪ.ə.ti	多样	false
satisfaction	ˌsæt.ɪsˈfæk.ʃən	满意	false
ebony	ˈeb.ə.ni	乌木	true
satin	ˈsæt.ɪn	缎子	true
fringe	frɪndʒ	流苏	true
fanciful	ˈfæn.sɪ.fəl	奇巧的	true
trifle	ˈtraɪ.fəl	小玩意	true
creamy	ˈkriː.mi	奶油色的	true
peculiar	pɪˈkjuː.li.ər	特有的	true
recline	rɪˈklaɪn	斜倚	true
ottoman	ˈɑː.tə.mən	软榻	true
consternation	ˌkɑːn.stərˈneɪ.ʃən	惊愕	true
scatter-brain	ˈskæt.ərˌbreɪn	糊涂虫	true
bouquet	buːˈkeɪ	花束	true
fuss	fʌs	忙乱	true
asylum	əˈsaɪ.ləm	庇护处	true
pathetic	pəˈθet.ɪk	可怜的	true
absurd	əbˈsɜːrd	荒唐的	true
old-maidish	ˌoʊldˈmeɪ.dɪʃ	老姑娘气的	true
bonnet	ˈbɑː.nət	帽子	true
vile	vaɪl	恶劣的	true
alley	ˈæl.i	小巷	true
bijou	ˈbiː.ʒuː	小巧珍品	true
seamstress	ˈsiːm.strəs	女裁缝	true
wistfully	ˈwɪst.fəl.i	渴望地	true
stifle	ˈstaɪ.fəl	闷住	true
coarse	kɔːrs	粗糙的	true
toil	tɔɪl	辛劳	true
prospect	ˈprɑː.spekt	景象	true
pshaw	ʃɔː	呸	true
sentiment	ˈsen.tə.mənt	情感	true
bushel	ˈbʊʃ.əl	蒲式耳	true
minister	ˈmɪn.ɪ.stər	供给	true
craving	ˈkreɪ.vɪŋ	渴求的	true
bestow	bɪˈstoʊ	给予	true
procure	prəˈkjʊr	获得	true
command	kəˈmænd	支配	true
rapture	ˈræp.tʃər	狂喜	true
geranium	dʒəˈreɪ.ni.əm	天竺葵	true
morning-glory	ˌmɔːr.nɪŋˈɡlɔːr.i	牵牛花	true
twine	twaɪn	缠绕	true
yearn	jɜːrn	渴望	true
washerwoman	ˈwɑː.ʃərˌwʊm.ən	洗衣妇	true
baptize	bæpˈtaɪz	施洗	true
shapeless	ˈʃeɪp.ləs	无形的	true
waltz	wɔːlts	华尔兹	true
