P1	a an and are am apple at be big book boy cat city day dog egg for go good he hello her hi him his i in is it me my no not on one or pen red run school she small sun the this to up us we yes you your
P2	after again all also ask bag ball bed bird black blue box brother can come dad desk do does door down eat father friend girl give green have here home house like look make man mother name new old open play read room see sister sit stand teacher that them there they three two want water white window with work yellow
P3	about away because before best bring class cold could every family find flower food from game garden get great happy help jump know lesson light little live long many morning much night people plant pretty put right rose say some something take tell than these thing think time tree very walk warm well what when where who why will year
P4	anything beautiful between carry clear close cousin different evening favorite feel first full grow hard hear idea keep kind leave living minute moment need never notice party poor pure quite remember rich sad smile sorry state story subject table through today together window without woman yesterday
P5	address almost around believe careful certainly cheerful choice clothing delight determined drawing enjoy example fine garden glass grateful indeed line manage music necessary neighborhood perfect pleasure quality regular reveal simple stream supply useful value variety wealth
P6	alike attention baptize command create delicate determine feeling greenhouse heavenly human inquire intention intimate luxury minister motherly peculiar practice provision regard satisfaction sentiment sunshine sustain talent tasteful thinking washerwoman wistful
M1	absurd asylum bouquet circumstance consternation costly craving delicious enjoyment fanciful gratification ottoman pathetic procure prospect rapture recline seamstress stifle trifle untold waltz yearn
M2	alley bijou bonnet bushel coarse ebony fringe geranium old-maidish scatter-brain shapeless toil twine vile
M3	creamy morning-glory pshaw satin
H1	abstract accurate acquire adapt adequate analyze approach assume beneficial complex concept consequence context contrast demonstrate derive establish evaluate evidence imply interpret literary obtain perspective significant structure sufficient theme whereas
H2	ambiguous anticipate coherent comprise considerable illustrate inevitable integrate maintain metaphor objective phenomenon preliminary principle relevant sophisticated transition vary
H3	aesthetic allusion connotation critique empirical implicit inference nuance paradox rhetoric synthesis thesis
